Reporting_Airline,flight_count,mean_dep_delay,mean_arr_delay,pct_dep_delayed_15,pct_arr_delayed_15,cancel_rate,divert_rate,cluster
AA,72082,9.28223412224966,2.3909991398684833,0.18732832052384785,0.19228101329041924,0.0,0.0,2
AS,17847,4.478847985655853,-0.2521432173474534,0.16624642797108757,0.1757718384042136,0.0,0.0,1
B6,17558,9.695124729468048,4.892185898166078,0.22371568515776286,0.2445608839275544,0.0,0.0,0
DL,74025,9.86097939885174,2.793745356298548,0.19547450185748058,0.1932049983113813,0.0,0.0,2
F9,15110,11.062872270019854,7.820648577101258,0.23183322303110523,0.25976174718729317,0.0,0.0,4
G4,9206,10.027156202476645,4.997936128611775,0.23582446230719095,0.23712796002606995,0.0,0.0,0
HA,6540,5.14954128440367,4.49434250764526,0.11391437308868502,0.13547400611620794,0.0,0.0,5
MQ,20831,6.873265805770246,2.774710767605972,0.15736162450194421,0.18429264077576687,0.0,0.0,1
NK,16946,6.293402572878556,-0.08527086038003069,0.18187182816003777,0.18080963059129,0.0,0.0,1
OH,19151,12.717664873896924,9.378309226672236,0.23079734739700278,0.25481698083650983,0.0,0.0,4
OO,63502,9.628736102799913,4.889105854933703,0.1866870334792605,0.20882806840729426,0.0,0.0,2
UA,60668,7.132541043053998,0.586750840640865,0.1658864640337575,0.17627085119008373,0.0,0.0,1
WN,102120,6.894898159028593,-1.3614473168820995,0.1745201723462593,0.15208578143360751,0.0,0.0,1
YX,26683,2.130307686541993,-2.4602930704943224,0.12217516770977777,0.160176891653862,0.0,0.0,3
